scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count
OICB-1709130300000000000-000066,OICB_C,OICB_C,SHORT,SHORT,1709130780000000000,2024-02-28,14,1709130780000000000,60080.0,60080.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-143300-001-000-36,60378.59999999999,59755.6,SHOCK_RANGE_EXTENSION,60358.75,111.47500000000036,7.374,94185.24037934,2825.5572113802,383.1390325999949,0.6271615315969852,0.0007,,False,False,(),False,60079.9,1709130780000000000,3752,12,59851.2,60384.4,228.70000000000437,304.5,0.7656511550050625,1.0194174757281902,2.0515810719892675,2.73155416012558,0.218995724425702,0.37727356834174536,,,60378.700000000004,1709131440000000000,2024-02-28,14,11.0,-2825.13440148,-0.004973377119469289,-0.9998503622936754,STOP,,,,,,
OICB-1709133000000000000-000069,OICB_C,OICB_C,LONG,LONG,1709133240000000000,2024-02-28,15,1709133240000000000,60975.3,60975.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-151400-001-000-39,60804.99999999999,61265.100000000006,SHOCK_RANGE_EXTENSION,60818.100000000006,163.625,10.717,91360.10597786,2740.8031793358,255.7362169999936,0.7978209828606355,0.0007,,False,False,(),False,60975.399999999994,1709133240000000000,3793,2,61420.8,60915.7,445.40000000000873,59.69999999999709,2.613849765258245,0.3503521126760363,2.7220779220779754,0.3648586707410059,0.842366413827142,1.4058339652377736,1.7091333e+18,,61264.99999999999,1709133300000000000,2024-02-28,15,1.0,2186.60794324,0.004749456338129779,0.7977982365628669,OTHER_EXIT,,,,,,
OICB-1709137200000000000-000071,OICB_C,OICB_C,LONG,LONG,1709137440000000000,2024-02-28,16,1709137440000000000,61285.6,61285.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-162400-001-000-42,61140.8,61549.100000000006,SHOCK_RANGE_EXTENSION,61172.75,122.7949999999997,12.163,93546.7139211,2806.401417633,230.72206348000336,0.768633436374319,0.0007,,False,False,(),False,61285.7,1709137440000000000,3863,5,61644.9,61150.0,359.20000000000437,135.6999999999971,2.4789510006902606,0.936507936507954,2.9252005374812104,1.1050938556129926,0.8386897511289612,1.183018979126202,1.70913768e+18,,61548.99999999999,1709137680000000000,2024-02-28,16,4.0,2156.69098073,0.004296271397732189,0.7684898415384265,OTHER_EXIT,,,,,,
OICB-1709167800000000000-000079,OICB_C,OICB_C,SHORT,SHORT,1709167920000000000,2024-02-29,0,1709167920000000000,61304.0,61304.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-005200-001-000-45,61489.100000000006,60952.8,SHOCK_RANGE_EXTENSION,61480.8,103.86499999999906,10.584,95703.40490183,2871.1021470549,271.26437644000623,0.9784559383849122,0.0007,,False,False,(),False,61303.9,1709167920000000000,4371,6,61275.0,61526.0,28.900000000001455,222.09999999999854,0.15604751619870827,1.1992440604751258,0.2782457998363425,2.138352669330386,-0.31749664710967446,-0.21051503610400585,,,61489.2,1709168220000000000,2024-02-29,0,5.0,-2870.96471928,-0.0030226461937983657,-0.9999521341394834,STOP,,,,,,
OICB-1709182200000000000-000081,OICB_C,OICB_C,LONG,LONG,1709182320000000000,2024-02-29,4,1709182320000000000,62572.7,62572.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-045200-001-000-48,62395.7,62862.4,SHOCK_RANGE_EXTENSION,62403.55,98.66999999999898,10.52,92832.44018255,2784.9732054765,264.7214494799972,0.7620100785042011,0.0007,,False,False,(),False,62572.8,1709182320000000000,4611,13,62800.0,62321.0,227.1999999999971,251.8000000000029,1.2828910220213983,1.4217955957086088,2.302624911320558,2.5519408128104337,0.018635135194696017,0.5259832184868655,,,62395.6,1709183040000000000,2024-02-29,5,12.0,-2784.4112976,-0.002831901401247896,-0.9997982358051435,STOP,,,,,,
OICB-1709187900000000000-000084,OICB_C,OICB_C,SHORT,SHORT,1709188260000000000,2024-02-29,6,1709188260000000000,63129.4,63129.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-063100-001-000-51,63372.0,62767.399999999994,SHOCK_RANGE_EXTENSION,63326.4,140.54999999999927,8.151,90048.02888495,2701.4408665485003,331.39501080000025,0.8258188297383761,0.0007,,False,False,(),False,63129.299999999996,1709188260000000000,4710,3,63121.5,63388.0,7.799999999995634,258.70000000000437,0.032138442521613075,1.0659250103007816,0.05549626467446229,1.8406261117040605,-0.2675993515591145,-0.24374404371691977,,,63372.1,1709188380000000000,2024-02-29,6,2.0,-2700.84183798,-0.0038460746436282823,-0.9997782559019085,STOP,,,,,,
OICB-1709207100000000000-000088,OICB_C,OICB_C,SHORT,SHORT,1709207520000000000,2024-02-29,11,1709207520000000000,62973.8,62973.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-115200-001-000-54,63144.99999999999,62649.2,SHOCK_RANGE_EXTENSION,63120.350000000006,112.72999999999993,10.09,87347.18704697,2620.4156114090997,259.7015728799979,0.9104253003860601,0.0007,,False,False,(),False,62973.7,1709207520000000000,5031,15,62636.8,63131.7,336.8999999999942,158.0,1.9667250437828532,0.9223584354933101,2.988556728466197,1.4015789940565961,0.9579173789407363,0.9579173789407363,1.70920836e+18,,62649.299999999996,1709208360000000000,2024-02-29,12,14.0,2385.920751,0.005151356836266592,0.9105123403371107,TARGET,,,,,,
OICB-1709208600000000000-000089,OICB_C,OICB_C,SHORT,SHORT,1709208780000000000,2024-02-29,12,1709208780000000000,62511.6,62511.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-121300-001-000-57,62725.9,61955.399999999994,SHOCK_RANGE_EXTENSION,62654.7,111.6349999999984,8.908,89733.10779797,2691.9932339391003,302.1970715600034,1.551381893212401,0.0007,,False,False,(),False,62511.5,1709208780000000000,5052,8,62500.0,62727.0,11.5,215.5,0.05363805970149217,1.0051305970149185,0.10301428763380809,1.9303981726161428,-0.2905923923970322,-0.2521799751618981,,,62726.0,1709209200000000000,2024-02-29,12,7.0,-2691.696955,-0.003431368628172416,-0.9998899406821068,STOP,,,,,,
OICB-1709210400000000000-000090,OICB_C,OICB_C,SHORT,SHORT,1709210700000000000,2024-02-29,12,1709210700000000000,62638.0,62638.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-124500-001-000-60,62711.9,62418.700000000004,SHOCK_RANGE_EXTENSION,62693.35,63.64000000000051,16.135,87041.41084297,2611.2423252891,161.83612384000548,0.812768431293082,0.0007,,False,False,(),False,62637.9,1709210700000000000,5084,13,62422.3,62747.1,215.59999999999854,109.19999999999709,2.913513513513494,1.4756756756756364,3.387806411062175,1.7159019484600284,0.344839326819091,0.7900452443263004,,,62712.0,1709211420000000000,2024-02-29,12,12.0,-2611.36794555,-0.001182989851192306,-1.0000481074696452,STOP,,,,,,
OICB-1709213100000000000-000091,OICB_C,OICB_C,SHORT,SHORT,1709213220000000000,2024-02-29,13,1709213220000000000,62368.3,62368.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-132700-001-000-63,62560.600000000006,61967.7,SHOCK_RANGE_EXTENSION,62553.399999999994,90.58499999999985,9.046,84430.04289742,2532.9012869226,279.99706275999205,1.1193504385746162,0.0007,,False,False,(),False,62368.19999999999,1709213220000000000,5126,6,62050.0,62725.0,318.1999999999898,356.8000000000102,1.6538461538459632,1.854469854469753,3.5127228569850453,3.938841971628976,-0.01127322540064394,0.8246774366983949,,,62560.700000000004,1709213520000000000,2024-02-29,13,5.0,-2532.42978058,-0.003086508829820559,-0.99981384732795,STOP,,,,,,
OICB-1709237700000000000-000101,OICB_C,OICB_C,LONG,LONG,1709237880000000000,2024-02-29,20,1709237880000000000,62029.7,62029.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-201800-001-000-66,61923.80000000001,62269.5,SHOCK_RANGE_EXTENSION,61930.15,78.76000000000131,12.742,81897.61311684,2456.9283935052,192.81828443999288,0.7914993276869444,0.0007,,False,False,(),False,62029.799999999996,1709237880000000000,5537,9,62280.0,61932.8,250.20000000000437,96.99999999999272,2.3603773584909313,0.9150943396226985,3.1767394616556652,1.2315896394107555,0.592875464751809,0.8452680744119289,1.70923836e+18,,62269.40000000001,1709238360000000000,2024-02-29,20,8.0,1944.30891552,0.0038626595604050492,0.7913575831756877,TARGET,,,,,,
OICB-1709298000000000000-000117,OICB_C,OICB_C,SHORT,SHORT,1709298180000000000,2024-03-01,13,1709298180000000000,62274.8,62274.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-130300-001-000-69,62366.1,62007.7,SHOCK_RANGE_EXTENSION,62358.9,89.59499999999971,14.074,83841.92203236,2515.2576609708,178.7162073199992,1.006916427438442,0.0007,,False,False,(),False,62274.700000000004,1709298180000000000,6542,3,62249.1,62409.1,25.60000000000582,134.39999999999418,0.28008752735237913,1.4704595185995923,0.28573023048167756,1.5000837100284012,-0.4895171585829004,-0.3456130863911983,,,62366.200000000004,1709298300000000000,2024-03-01,13,2.0,-2515.70821862,-0.0014692965200956407,-1.0001791298188616,STOP,,,,,,
OICB-1709308200000000000-000122,OICB_C,OICB_C,SHORT,SHORT,1709308320000000000,2024-03-01,15,1709308320000000000,61357.7,61357.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-155200-001-000-72,61550.8,61059.299999999996,SHOCK_RANGE_EXTENSION,61544.1,83.55500000000029,8.734,81326.21381374,2439.7864144122,279.3203390799997,0.7606251148762785,0.0007,,False,False,(),False,61357.6,1709308320000000000,6711,17,61200.0,61564.9,157.59999999999854,207.3000000000029,0.8157349896480072,1.0729813664596182,1.8861827538746694,2.4810005385674367,0.08762952988178091,0.2563711623573854,,,61550.899999999994,1709309280000000000,2024-03-01,16,16.0,-2439.7201873,-0.0031503839785127783,-0.9999728553647939,STOP,,,,,,
OICB-1709319000000000000-000126,OICB_C,OICB_C,SHORT,SHORT,1709319300000000000,2024-03-01,18,1709319300000000000,62415.9,62415.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-185500-001-000-75,62463.9,62197.40000000001,SHOCK_RANGE_EXTENSION,62453.75,75.83500000000058,17.454,78886.49362644,2366.5948087932,135.58263676000195,0.9669063136164285,0.0007,,False,False,(),False,62415.80000000001,1709319300000000000,6894,2,62391.7,62487.5,24.100000000013097,71.69999999998981,0.5010395010398643,1.4906444906445495,0.31779521329218585,0.9454737258520376,-0.6467066292212594,-0.46809275521266236,,,62464.0,1709319360000000000,2024-03-01,18,1.0,-2367.03922044,-0.0007722403622158141,-1.0001877852706973,STOP,,,,,,
OICB-1709327100000000000-000129,OICB_C,OICB_C,SHORT,SHORT,1709327220000000000,2024-03-01,21,1709327220000000000,62470.0,62470.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-210700-001-000-78,62703.00000000001,62021.40000000001,SHOCK_RANGE_EXTENSION,62692.55,131.0850000000002,7.154,76519.454406,2295.58363218,320.85792576000165,1.1258285162954067,0.0007,,False,False,(),False,62469.9,1709327220000000000,7026,9,62352.6,62793.3,117.30000000000291,323.40000000000146,0.5032175032175031,1.387387387387359,0.894839226456137,2.467101499027356,0.002817726873532949,0.09263991197847592,,,62703.100000000006,1709327700000000000,2024-03-01,21,8.0,-2295.1541494,-0.0037329978117462068,-0.9998129091120969,STOP,,,,,,
OICB-1709350500000000000-000136,OICB_C,OICB_C,LONG,LONG,1709350800000000000,2024-03-02,3,1709350800000000000,62379.9,62379.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240302-034000-001-000-81,62319.5,62624.8,SHOCK_RANGE_EXTENSION,62322.8,41.48999999999942,15.054,74224.3002566,2226.7290076980003,147.90876655999662,1.062795084132015,0.0007,,False,False,(),False,62380.0,1709350800000000000,7419,8,62478.4,62271.1,98.40000000000146,108.90000000000146,1.6264462809917597,1.800000000000024,2.37165582067975,2.6247288503254516,0.0068013548040135,0.07301203472358737,,,62319.399999999994,1709351220000000000,2024-03-02,3,7.0,-2226.32973732,-0.0009714652132094553,-0.9998206919761587,STOP,,,,,,
OICB-1709388300000000000-000144,OICB_C,OICB_C,SHORT,SHORT,1709388420000000000,2024-03-02,14,1709388420000000000,61637.7,61637.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240302-140700-001-000-84,61739.6,61407.7,SHOCK_RANGE_EXTENSION,61736.55,38.1549999999992,11.46,71997.97051928,2159.9391155784,188.4665116800063,0.7624337937764147,0.0007,,False,False,(),False,61637.6,1709388420000000000,8046,2,61627.2,61756.6,10.400000000001455,119.0,0.10196078431373976,1.1666666666666667,0.27257240204433686,3.1188572926222644,-0.45945939800181934,-0.4037075834946339,,,61739.7,1709388480000000000,2024-03-02,14,1.0,-2159.7987006,-0.0016564564486611832,-0.9999349912331382,STOP,,,,,,
OICB-1709472000000000000-000161,OICB_C,OICB_C,SHORT,SHORT,1709472240000000000,2024-03-03,13,1709472240000000000,62072.0,62072.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240303-132400-001-000-87,62235.6,61811.100000000006,SHOCK_RANGE_EXTENSION,62230.9,58.89499999999971,8.352,69838.17181868,2095.1451545604,250.8269281200038,0.6934335013535355,0.0007,,False,False,(),False,62071.9,1709472240000000000,9443,9,62060.0,62249.9,11.900000000001455,178.0,0.07269395235187334,1.0873549175320902,0.20205450377793555,3.022327871635977,-0.3476529838864784,-0.29977774142345703,,,62235.7,1709472720000000000,2024-03-03,13,8.0,-2094.80955264,-0.002638875239842757,-0.9998398192508671,STOP,,,,,,
OICB-1709485800000000000-000165,OICB_C,OICB_C,SHORT,SHORT,1709486040000000000,2024-03-03,17,1709486040000000000,62869.2,62869.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240303-171400-001-000-90,62982.59999999999,62646.4,SHOCK_RANGE_EXTENSION,62955.4,78.64999999999927,10.076,67743.36226604,2032.3008679811999,201.6882544000071,0.6680561562735385,0.0007,,False,False,(),False,62869.100000000006,1709486040000000000,9673,22,62523.3,62923.3,345.8000000000029,54.19999999999709,3.046696035242707,0.4775330396476127,4.396694214876111,0.6891290527653858,0.8114476000938535,1.2783358196390529,1.7094873e+18,,62646.5,1709487300000000000,2024-03-03,17,21.0,1357.63097008,0.00354069010054233,0.668026566080549,TARGET,,,,,,
OICB-1709504700000000000-000170,OICB_C,OICB_C,LONG,LONG,1709504880000000000,2024-03-03,22,1709504880000000000,63279.5,63279.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240303-222800-001-000-93,63176.700000000004,63502.0,SHOCK_RANGE_EXTENSION,63194.0,77.47500000000036,10.824,69100.99323612,2073.0297970836,191.51734139999522,0.6973412904738456,0.0007,,False,False,(),False,63279.6,1709504880000000000,9987,4,63330.9,63157.1,51.30000000000291,122.5,0.4985422740525346,1.1904761904762577,0.6621490803485339,1.5811552113584952,-0.25229981602073975,-0.1959475300026175,,,63176.600000000006,1709505060000000000,2024-03-03,22,3.0,-2073.00533616,-0.0016276967616734733,-0.999988200399418,STOP,,,,,,
